firmname,own,own2
(유)지음,1.0,1.0
그레이해쉬,0.8186136262431349,1.0
그린웹서비스,1.0,1.0
네이버,0.8821504708400674,1.0
네이버랩스,1.0,1.0
네이버비즈니스플랫폼,1.0,1.0
네이버아이앤에스,1.0,1.0
네이버웹툰,1.0,1.0
라인게임즈,0.7129236239597372,1.0
라인비즈플러스,1.0,1.0
라인스튜디오,1.0,1.0
라인업,1.0,1.0
라인파이낸셜플러스,1.0,1.0
라인프렌즈,1.0,1.0
라인플러스,1.0,1.0
라인플레이,1.0,1.0
락스퀘어,0.6102037504241727,1.0
리코,1.0,1.0
마크티,1.0,1.0
서치솔루션,1.0,1.0
스노우,1.0,1.0
스튜디오엔,1.0,1.0
스튜디오포립,0.94,1.0
스프링캠프,1.0,1.0
어뮤즈,1.0,1.0
언블락,1.0,1.0
언체인,1.0,1.0
엔비전스,1.0,1.0
엔아이티서비스,1.0,1.0
엔테크서비스,1.0,1.0
오디언소리,1.0,1.0
와이티엔플러스,1.0,1.0
웍스모바일,1.0,1.0
인컴즈,1.0,1.0
컴파트너스,1.0,1.0
컴패니에이아이,0.7494999999999999,0.9999999999999999
플레이리스트,1.0,1.0
피그,1.0,1.0
하트잇,1.0,1.0
