,기업집단,대표회사
0,삼성,삼성전자
1,현대자동차,현대자동차
2,에스케이,SK
3,엘지,LG
4,롯데,롯데지주
5,포스코,포스코
6,한화,한화
7,지에스,GS
8,현대중공업,한국조선해양
9,농협,농협경제지주
10,신세계,신세계
11,케이티,케이티
12,씨제이,CJ
13,한진,대한항공
14,두산,두산
15,엘에스,LS
16,부영,부영
17,대림,대림산업
18,미래에셋,미래에셋캐피탈
19,금호아시아나,금호산업
20,에쓰-오일,S-Oil
21,현대백화점,현대백화점
22,카카오,카카오
23,한국투자금융,한국금융지주
24,교보생명보험,교보생명보험
25,효성,효성
26,하림,하림지주
27,영풍,영풍
28,대우조선해양,대우조선해양
29,케이티앤지,케이티앤지
30,에이치디씨,HDC
31,케이씨씨,케이씨씨
32,코오롱,코오롱
33,대우건설,대우건설
34,오씨아이,OCI
35,이랜드,이랜드월드
36,태영,태영건설
37,SM,티케이케미칼
38,DB,DB
39,세아,세아홀딩스
40,네이버,NAVER
41,넥슨,엔엑스씨
42,한국타이어,한국앤컴퍼니
43,호반건설,호반건설
44,셀트리온,셀트리온홀딩스
45,중흥건설,중흥건설
46,넷마블,넷마블
47,아모레퍼시픽,아모레퍼시픽그룹
48,태광,태광산업
49,동원,동원엔터프라이즈
50,한라,한라홀딩스
51,삼천리,삼천리
52,에이치엠엠,HMM
53,장금상선,장금상선
54,IMM인베스트먼트,아이엠엠인베스트먼트
55,한국지엠,한국지엠
56,동국제강,동국제강
57,다우키움,키움증권
58,금호석유화학,금호석유화학
59,애경,AK홀딩스
60,하이트진로,하이트진로홀딩스
61,유진,유진기업
62,KG,KG케미칼
63,삼양,삼양홀딩스
